Rank,sel_count
1.000000000000000000e+00,5.020000000000000000e+03
2.000000000000000000e+00,3.415000000000000000e+03
3.000000000000000000e+00,3.346000000000000000e+03
4.000000000000000000e+00,3.274000000000000000e+03
5.000000000000000000e+00,2.817000000000000000e+03
6.000000000000000000e+00,2.613000000000000000e+03
7.000000000000000000e+00,2.513000000000000000e+03
8.000000000000000000e+00,2.400000000000000000e+03
9.000000000000000000e+00,2.376000000000000000e+03
1.000000000000000000e+01,2.293000000000000000e+03
1.100000000000000000e+01,2.272000000000000000e+03
1.200000000000000000e+01,2.170000000000000000e+03
1.300000000000000000e+01,1.877000000000000000e+03
1.400000000000000000e+01,1.854000000000000000e+03
1.500000000000000000e+01,1.810000000000000000e+03
1.600000000000000000e+01,1.804000000000000000e+03
1.700000000000000000e+01,1.763000000000000000e+03
1.800000000000000000e+01,1.735000000000000000e+03
1.900000000000000000e+01,1.711000000000000000e+03
2.000000000000000000e+01,1.701000000000000000e+03
2.100000000000000000e+01,1.674000000000000000e+03
2.200000000000000000e+01,1.624000000000000000e+03
2.300000000000000000e+01,1.521000000000000000e+03
2.400000000000000000e+01,1.493000000000000000e+03
2.500000000000000000e+01,1.456000000000000000e+03
2.600000000000000000e+01,1.439000000000000000e+03
2.700000000000000000e+01,1.412000000000000000e+03
2.800000000000000000e+01,1.381000000000000000e+03
2.900000000000000000e+01,1.373000000000000000e+03
3.000000000000000000e+01,1.335000000000000000e+03
3.100000000000000000e+01,1.334000000000000000e+03
3.200000000000000000e+01,1.323000000000000000e+03
3.300000000000000000e+01,1.250000000000000000e+03
3.400000000000000000e+01,1.242000000000000000e+03
3.500000000000000000e+01,1.150000000000000000e+03
3.600000000000000000e+01,1.063000000000000000e+03
3.700000000000000000e+01,9.860000000000000000e+02
3.800000000000000000e+01,9.270000000000000000e+02
3.900000000000000000e+01,9.130000000000000000e+02
4.000000000000000000e+01,8.930000000000000000e+02
4.100000000000000000e+01,8.830000000000000000e+02
4.200000000000000000e+01,8.640000000000000000e+02
4.300000000000000000e+01,8.100000000000000000e+02
4.400000000000000000e+01,8.010000000000000000e+02
4.500000000000000000e+01,8.010000000000000000e+02
4.600000000000000000e+01,7.840000000000000000e+02
4.700000000000000000e+01,7.800000000000000000e+02
4.800000000000000000e+01,7.660000000000000000e+02
4.900000000000000000e+01,7.490000000000000000e+02
5.000000000000000000e+01,7.490000000000000000e+02
5.100000000000000000e+01,7.020000000000000000e+02
5.200000000000000000e+01,6.940000000000000000e+02
5.300000000000000000e+01,6.760000000000000000e+02
5.400000000000000000e+01,6.530000000000000000e+02
5.500000000000000000e+01,6.170000000000000000e+02
5.600000000000000000e+01,5.830000000000000000e+02
5.700000000000000000e+01,5.820000000000000000e+02
5.800000000000000000e+01,5.650000000000000000e+02
5.900000000000000000e+01,5.470000000000000000e+02
6.000000000000000000e+01,5.450000000000000000e+02
6.100000000000000000e+01,5.150000000000000000e+02
6.200000000000000000e+01,5.110000000000000000e+02
6.300000000000000000e+01,5.050000000000000000e+02
6.400000000000000000e+01,4.980000000000000000e+02
6.500000000000000000e+01,4.800000000000000000e+02
6.600000000000000000e+01,4.690000000000000000e+02
6.700000000000000000e+01,4.670000000000000000e+02
6.800000000000000000e+01,4.630000000000000000e+02
6.900000000000000000e+01,4.600000000000000000e+02
7.000000000000000000e+01,4.570000000000000000e+02
7.100000000000000000e+01,4.500000000000000000e+02
7.200000000000000000e+01,3.930000000000000000e+02
7.300000000000000000e+01,3.620000000000000000e+02
7.400000000000000000e+01,3.480000000000000000e+02
7.500000000000000000e+01,3.160000000000000000e+02
7.600000000000000000e+01,3.150000000000000000e+02
7.700000000000000000e+01,3.000000000000000000e+02
7.800000000000000000e+01,2.890000000000000000e+02
7.900000000000000000e+01,2.870000000000000000e+02
8.000000000000000000e+01,2.790000000000000000e+02
8.100000000000000000e+01,2.780000000000000000e+02
8.200000000000000000e+01,2.440000000000000000e+02
8.300000000000000000e+01,2.400000000000000000e+02
8.400000000000000000e+01,2.380000000000000000e+02
8.500000000000000000e+01,2.320000000000000000e+02
8.600000000000000000e+01,2.060000000000000000e+02
8.700000000000000000e+01,2.050000000000000000e+02
8.800000000000000000e+01,2.050000000000000000e+02
8.900000000000000000e+01,2.040000000000000000e+02
9.000000000000000000e+01,1.670000000000000000e+02
9.100000000000000000e+01,1.640000000000000000e+02
9.200000000000000000e+01,1.450000000000000000e+02
9.300000000000000000e+01,1.440000000000000000e+02
9.400000000000000000e+01,1.310000000000000000e+02
9.500000000000000000e+01,1.230000000000000000e+02
9.600000000000000000e+01,1.200000000000000000e+02
9.700000000000000000e+01,5.000000000000000000e+01
9.800000000000000000e+01,2.900000000000000000e+01
9.900000000000000000e+01,7.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00
