Rank,Wealth
1.000000000000000000e+00,5.021000000000000000e+03
2.000000000000000000e+00,3.416000000000000000e+03
3.000000000000000000e+00,3.347000000000000000e+03
4.000000000000000000e+00,3.275000000000000000e+03
5.000000000000000000e+00,2.818000000000000000e+03
6.000000000000000000e+00,2.614000000000000000e+03
7.000000000000000000e+00,2.514000000000000000e+03
8.000000000000000000e+00,2.401000000000000000e+03
9.000000000000000000e+00,2.377000000000000000e+03
1.000000000000000000e+01,2.294000000000000000e+03
1.100000000000000000e+01,2.273000000000000000e+03
1.200000000000000000e+01,2.171000000000000000e+03
1.300000000000000000e+01,1.878000000000000000e+03
1.400000000000000000e+01,1.855000000000000000e+03
1.500000000000000000e+01,1.811000000000000000e+03
1.600000000000000000e+01,1.805000000000000000e+03
1.700000000000000000e+01,1.764000000000000000e+03
1.800000000000000000e+01,1.736000000000000000e+03
1.900000000000000000e+01,1.712000000000000000e+03
2.000000000000000000e+01,1.702000000000000000e+03
2.100000000000000000e+01,1.675000000000000000e+03
2.200000000000000000e+01,1.625000000000000000e+03
2.300000000000000000e+01,1.522000000000000000e+03
2.400000000000000000e+01,1.494000000000000000e+03
2.500000000000000000e+01,1.457000000000000000e+03
2.600000000000000000e+01,1.440000000000000000e+03
2.700000000000000000e+01,1.413000000000000000e+03
2.800000000000000000e+01,1.382000000000000000e+03
2.900000000000000000e+01,1.374000000000000000e+03
3.000000000000000000e+01,1.336000000000000000e+03
3.100000000000000000e+01,1.335000000000000000e+03
3.200000000000000000e+01,1.324000000000000000e+03
3.300000000000000000e+01,1.251000000000000000e+03
3.400000000000000000e+01,1.243000000000000000e+03
3.500000000000000000e+01,1.151000000000000000e+03
3.600000000000000000e+01,1.064000000000000000e+03
3.700000000000000000e+01,9.870000000000000000e+02
3.800000000000000000e+01,9.280000000000000000e+02
3.900000000000000000e+01,9.140000000000000000e+02
4.000000000000000000e+01,8.940000000000000000e+02
4.100000000000000000e+01,8.840000000000000000e+02
4.200000000000000000e+01,8.650000000000000000e+02
4.300000000000000000e+01,8.110000000000000000e+02
4.400000000000000000e+01,8.020000000000000000e+02
4.500000000000000000e+01,8.020000000000000000e+02
4.600000000000000000e+01,7.850000000000000000e+02
4.700000000000000000e+01,7.810000000000000000e+02
4.800000000000000000e+01,7.670000000000000000e+02
4.900000000000000000e+01,7.500000000000000000e+02
5.000000000000000000e+01,7.500000000000000000e+02
5.100000000000000000e+01,7.030000000000000000e+02
5.200000000000000000e+01,6.950000000000000000e+02
5.300000000000000000e+01,6.770000000000000000e+02
5.400000000000000000e+01,6.540000000000000000e+02
5.500000000000000000e+01,6.180000000000000000e+02
5.600000000000000000e+01,5.840000000000000000e+02
5.700000000000000000e+01,5.830000000000000000e+02
5.800000000000000000e+01,5.660000000000000000e+02
5.900000000000000000e+01,5.480000000000000000e+02
6.000000000000000000e+01,5.460000000000000000e+02
6.100000000000000000e+01,5.160000000000000000e+02
6.200000000000000000e+01,5.120000000000000000e+02
6.300000000000000000e+01,5.060000000000000000e+02
6.400000000000000000e+01,4.990000000000000000e+02
6.500000000000000000e+01,4.810000000000000000e+02
6.600000000000000000e+01,4.700000000000000000e+02
6.700000000000000000e+01,4.680000000000000000e+02
6.800000000000000000e+01,4.640000000000000000e+02
6.900000000000000000e+01,4.610000000000000000e+02
7.000000000000000000e+01,4.580000000000000000e+02
7.100000000000000000e+01,4.510000000000000000e+02
7.200000000000000000e+01,3.940000000000000000e+02
7.300000000000000000e+01,3.630000000000000000e+02
7.400000000000000000e+01,3.490000000000000000e+02
7.500000000000000000e+01,3.170000000000000000e+02
7.600000000000000000e+01,3.160000000000000000e+02
7.700000000000000000e+01,3.010000000000000000e+02
7.800000000000000000e+01,2.900000000000000000e+02
7.900000000000000000e+01,2.880000000000000000e+02
8.000000000000000000e+01,2.800000000000000000e+02
8.100000000000000000e+01,2.790000000000000000e+02
8.200000000000000000e+01,2.450000000000000000e+02
8.300000000000000000e+01,2.410000000000000000e+02
8.400000000000000000e+01,2.390000000000000000e+02
8.500000000000000000e+01,2.330000000000000000e+02
8.600000000000000000e+01,2.070000000000000000e+02
8.700000000000000000e+01,2.060000000000000000e+02
8.800000000000000000e+01,2.060000000000000000e+02
8.900000000000000000e+01,2.050000000000000000e+02
9.000000000000000000e+01,1.680000000000000000e+02
9.100000000000000000e+01,1.650000000000000000e+02
9.200000000000000000e+01,1.460000000000000000e+02
9.300000000000000000e+01,1.450000000000000000e+02
9.400000000000000000e+01,1.320000000000000000e+02
9.500000000000000000e+01,1.240000000000000000e+02
9.600000000000000000e+01,1.210000000000000000e+02
9.700000000000000000e+01,5.100000000000000000e+01
9.800000000000000000e+01,3.000000000000000000e+01
9.900000000000000000e+01,8.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+00
